Trial,SOA,Target,Response,Accuracy,randomGator
139,180,br,br,1,Shantungosuchus_brachycephalus
140,30,tr,br,0,Shantungosuchus_brachycephalus
141,150,br,br,1,Shantungosuchus_brachycephalus
142,30,br,tr,0,Shantungosuchus_brachycephalus
143,0,tr,tr,1,Shantungosuchus_brachycephalus
144,120,bl,tl,0,Shantungosuchus_brachycephalus
145,90,br,br,1,Shantungosuchus_brachycephalus
146,0,tl,tl,1,Shantungosuchus_brachycephalus
147,150,br,tl,0,Shantungosuchus_brachycephalus
148,60,bl,br,0,Shantungosuchus_brachycephalus
149,120,tl,tl,1,Shantungosuchus_brachycephalus
150,150,br,bl,0,Shantungosuchus_brachycephalus
151,120,tl,br,0,Shantungosuchus_brachycephalus
152,180,bl,tr,0,Shantungosuchus_brachycephalus
153,120,br,tl,0,Shantungosuchus_brachycephalus
154,0,br,br,1,Shantungosuchus_brachycephalus
155,90,tl,tl,1,Shantungosuchus_brachycephalus
156,30,bl,bl,1,Shantungosuchus_brachycephalus
157,120,tl,br,0,Shantungosuchus_brachycephalus
158,180,br,br,1,Shantungosuchus_brachycephalus
159,180,bl,tl,0,Shantungosuchus_brachycephalus
160,0,bl,br,0,Shantungosuchus_brachycephalus
161,150,bl,tl,0,Shantungosuchus_brachycephalus
162,60,br,br,1,Shantungosuchus_brachycephalus
163,180,tr,tr,1,Shantungosuchus_brachycephalus
164,30,br,bl,0,Shantungosuchus_brachycephalus
165,120,tl,tl,1,Shantungosuchus_brachycephalus
166,90,bl,br,0,Shantungosuchus_brachycephalus
167,30,tr,bl,0,Shantungosuchus_brachycephalus
168,60,tr,br,0,Shantungosuchus_brachycephalus
169,120,br,br,1,Shantungosuchus_brachycephalus
170,0,tr,tr,1,Shantungosuchus_brachycephalus
171,90,bl,tr,0,Shantungosuchus_brachycephalus
172,120,br,br,1,Shantungosuchus_brachycephalus
173,30,tl,br,0,Shantungosuchus_brachycephalus
174,0,tl,tl,1,Shantungosuchus_brachycephalus
175,0,bl,bl,1,Shantungosuchus_brachycephalus
176,150,tr,tl,0,Shantungosuchus_brachycephalus
177,60,tr,br,0,Shantungosuchus_brachycephalus
178,150,tr,tl,0,Shantungosuchus_brachycephalus
179,150,tr,bl,0,Shantungosuchus_brachycephalus
180,60,br,br,1,Shantungosuchus_brachycephalus
181,150,tl,tl,1,Shantungosuchus_brachycephalus
182,150,bl,tl,0,Shantungosuchus_brachycephalus
183,60,bl,br,0,Shantungosuchus_brachycephalus
184,0,bl,bl,1,Shantungosuchus_brachycephalus
185,60,tr,br,0,Shantungosuchus_brachycephalus
186,30,tr,br,0,Shantungosuchus_brachycephalus
187,90,br,bl,0,Shantungosuchus_brachycephalus
188,30,tr,br,0,Shantungosuchus_brachycephalus
189,0,tl,tl,1,Shantungosuchus_brachycephalus
190,90,br,bl,0,Shantungosuchus_brachycephalus
191,90,tl,br,0,Shantungosuchus_brachycephalus
192,30,bl,br,0,Shantungosuchus_brachycephalus
193,90,tl,tl,1,Shantungosuchus_brachycephalus
194,30,bl,bl,1,Shantungosuchus_brachycephalus
195,150,tl,tl,1,Shantungosuchus_brachycephalus
196,90,br,br,1,Shantungosuchus_brachycephalus
1,0,tl,br,0,Araripesuchus_wegeneri
2,150,bl,tr,0,Araripesuchus_wegeneri
3,30,bl,bl,1,Araripesuchus_wegeneri
4,180,tl,tl,1,Araripesuchus_wegeneri
5,120,tr,tr,1,Araripesuchus_wegeneri
6,60,bl,br,0,Araripesuchus_wegeneri
7,60,bl,tr,0,Araripesuchus_wegeneri
8,180,br,br,1,Araripesuchus_wegeneri
9,120,tl,br,0,Araripesuchus_wegeneri
10,90,bl,tr,0,Araripesuchus_wegeneri
11,30,tl,br,0,Araripesuchus_wegeneri
12,150,bl,bl,1,Araripesuchus_wegeneri
13,120,br,br,1,Araripesuchus_wegeneri
14,60,tl,br,0,Araripesuchus_wegeneri
15,0,bl,tr,0,Araripesuchus_wegeneri
16,180,tl,bl,0,Araripesuchus_wegeneri
17,150,tl,tr,0,Araripesuchus_wegeneri
18,60,bl,br,0,Araripesuchus_wegeneri
